id,proba,label
15740,0.2992495,0
38794,0.67912406,1
60792,0.31748667,0
71824,0.30020845,0
4796,0.45171776,0
75310,0.72606266,1
63425,0.371122,0
72360,0.72990876,1
17203,0.7304693,1
76803,0.58218145,1
96013,0.46447617,0
78093,0.7294294,1
8179,0.7310539,1
60425,0.7285411,1
68439,0.35334504,0
93602,0.40262774,0
30941,0.7290216,1
13782,0.7044689,1
38902,0.27341998,0
42698,0.3020113,0
71840,0.27986702,0
24890,0.70711786,1
74863,0.27565187,0
9257,0.3501676,0
50921,0.27104542,0
3218,0.27147102,0
20396,0.27400738,0
74895,0.31549045,0
32489,0.69691974,1
2937,0.36785087,0
51379,0.43047914,0
54701,0.73037106,1
32198,0.5770402,1
86423,0.62762684,1
52809,0.731055,1
60158,0.30951807,0
60589,0.73105466,1
43186,0.7265646,1
50498,0.28130615,0
21658,0.5583073,1
96371,0.4514685,0
49873,0.73087287,1
6738,0.722038,1
19870,0.33413637,0
59604,0.73098,1
49306,0.3123239,0
8679,0.27069294,0
10536,0.7310013,1
34571,0.28679332,0
40596,0.27226827,0
8245,0.5712125,1
4567,0.7298668,1
60837,0.72284895,1
4851,0.54575837,1
59482,0.28770614,0
74308,0.7302565,1
12945,0.335386,0
86302,0.73091996,1
70341,0.30897105,0
42609,0.36768198,0
73964,0.28822908,0
59120,0.728818,1
24560,0.730162,1
67209,0.7024189,1
64019,0.6298185,1
8612,0.27257457,0
43925,0.27089816,0
49713,0.4817849,0
28069,0.46160853,0
78259,0.2829001,0
60278,0.33967984,0
62038,0.27365744,0
60534,0.7302477,1
79160,0.63623303,1
17094,0.5986005,1
32698,0.6957498,1
38601,0.27618802,0
49580,0.73091644,1
52804,0.7183743,1
32904,0.50562155,1
12804,0.7309865,1
38125,0.28969333,0
28164,0.40358216,0
93756,0.5083948,1
27103,0.27575108,0
31482,0.27592364,0
68759,0.71302646,1
69743,0.27500325,0
36047,0.69714105,1
52179,0.71046054,1
18953,0.37023738,0
8673,0.71294934,1
36927,0.7254228,1
72398,0.7310516,1
86259,0.2905268,0
3742,0.73104113,1
23765,0.7306888,1
35079,0.63219005,1
70394,0.5032018,1
30519,0.7300789,1
69514,0.730988,1
41082,0.6906202,1
51389,0.42863595,0
58317,0.3636427,0
38569,0.28665543,0
